description,Name,Number with MA or mA,Major Arcana or Minor Arcana,Suit of Cards,Image,Fortune,Key Words Upright,Key words Reversed,Upright Meaning,Reverse Meaning,Archetype,"tarot cards and basic information about them, as well as references to corresp.9",Numerology,Elements and Planets,Mythical ,Questions to ask ,,
cards,The Fool,0,Major Arcana,Trump,m00.jpg,"Watch for new projects and new beginnings, Prepare to take something on faith, Something new comes your way; go for it","Freedom, Faith, Inexperience, Innocence, New Beginnings, Adventure, Spontaneity, Idealism","Recklessness, Taken Advantage of, Inconsideration, Caution, Naive, Distracted, Gullible, Stale, Dull","Freeing yourself from limitation, Expressing joy and youthful vigor, Being open-minded, Taking a leap of faith, Attuning yourself to your instincts, Being eager or curious, Exploring your potential, Embracing innovation and change","Being gullible and naive, Taking unnecessary risks, Failing to be serious when required, Being silly or distracted, Lacking experience, Failing to honor well-established traditions and limits, Behaving inappropriately",The Divine Madman,Aleph/Ox/1,0 (off the scale; pure potential),Air / Uranus,Adam before the fall. Christ as a wandering holy madman. Deity wrapped in human flesh. The Holy Spirit.,"What would I do if I felt free to take a leap?, How willing am I to be vulnerable and open?, How might past experiences help in this new situation?",,
cards,The Magician,1,Major Arcana,Trump,m01.jpg,"A powerful man may play a role in your day, Your current situation must be seen as one element of a much larger plan","Capability, Creation, Empowerment, Activity, Willpower, Desire, Resourcefll, Ability & Skill, Concentration, Manifestation","Manipulation, Cunning, Trickery, Wastedpotential, Illusion, Deception, Out of Self","Taking appropriate action, Receiving guidance from a higher power, Becoming a channel of divine will, Expressing masculine energy in appropriate and constructive ways, Being yourself in every way","Inflating your own ego, Abusing talents, Manipulating or deceiving others, Being too aggressive, Using cheap illusions to dazzle others, Refusing to invest the time and effort needed to master your craft, Taking shortcuts",The Ego/The Self,Beth/House/2,"1 (origins, unity, seeds)",Air /Mercury,"Thoth, the Egyptian god of wisdom, known to the Greeks as Hermes and to the Romans as Mercury. Christ working miracles. Brahma, the Creator.","What am I empowered to do?, How might my abilities come into play?, To what extent am I making the most of my talents?",,
cards,The High Priestess,2,Major Arcana,Trump,m02.jpg,"A mysterious woman arrives, A sexual secret may surface, Someone knows more than he or she will reveal","Intuition, Reflection, Purity, Initiation, Subconciousness, Mystery, Higher Power, Inner voice, Spirituality, Patience, Education, Teaching, Guide, Privacy","Repressed intuition & subconcious, Hidden motives and negative secracy, Superficiality, Confusion, Cognitive dissonace, Hidding true self, Isolation and lonliness, Lack of information, Lack of Center","Listening to your feelings and intuitions, Exploring unconventional spirituality, Keeping secrets,Being receptive,Reflecting instead of acting,Observing others,Preserving purity","Being aloofObsessing on secrets and conspiraciesRejecting guidance from spirit or intuitionRevealing allIgnoring gut feelingsRefusing to become involved, even when involvement is appropriate",The Virgin/The Maiden,Gimel/Camel/3,"2 (division, debate, duality)",Water / The Moon,"The feminine aspect of divinity, particularity when expressed through virginity, as with the Virgin Mary or Isis.","What might a rebel against tradition do?,What isn't being said or revealed?,What could be achieved by observing and reflecting?",,
cards,The Empress,3,Major Arcana,Trump,m03.jpg,"Pregnancy is in the cards, An opportunity to be involved in luxurious sexuality is coming, Beware a tendency toward addiction","Fertility, Productivity, Ripeness, Nurturing, Divine feminine, Sensuality, Beauty, Abundance, Nature, Creativity, Supportive & Committed, Like Fresh Air, Generosity in Material Aspects","Insecurity, Overbearing, Negligence, Smothering, Lack of Growth, Lack of Progress, Jealousy, Clingy, Stale Career, Overall feeling insecure and not confident","Nurturing yourself and others, Bearing fruit, Celebrating your body, Bearing (literal or figurative) children, Reveling in luxury, Mothering those around you in positive ways, Enjoying your sexuality, Getting things done","Overindulging, Being greedy, Smothering someone with attention, Debilitating someone by being overprotective, Inhibiting productivity by obsessing on productivity, Being overcome by addictive behavior",The Mother,Daleth/Door/4,"3 (expression, productivity, output)",Earth / Venus,"Gaia, Mother Earth, Ishtar, DemeterÑmature, reproductive female divinity in every form. Also Aphrodite and Turan. ","What would a concerned and capable mother do?,What can I do that would emphasize growth?,How can I celebrate my own sensuality and sexuality?",,
cards,The Emperor,4,Major Arcana,Trump,m04.jpg,"The Divine Masculine, A father figure arrives, A new employer or authority figure will give you orders, Expect discipline or correction in the near future","Authority, Regulation, Direction, Structure, Stability, Protection, Control, Practicality,  Focus, Discipline, Traditional, Creating Paths and processes, ","Tyrant, Dictator, Domineering, Rigid, Stubborn, Lack of Discipline, Recklessness Power struggle in relationships, Competitiveness, Overbearing, Low focus, Out of control, Coldness","Exercising authority, Defining limits, Directing the flow of work, Communicating clear guidelines,Being in control of yourself and others,Tempering aggressive masculinity with wisdom and experience","Micromanaging, Crushing the creativity of others with a rigid iron-fisted approach, Insisting on getting your own way, Assuming a dictatorial mindset, Using overt force to achieve your goals and maintain order",The Father,He[as]/Window/5; Tzaddi/Fish hook/90,"4 (stability, equality, persistence)",Aries / Fire / Mars,"Masculine gods, including the Hebrew God, the Christian God, Allah, and Zeus. Patriarchs (Abraham) and lawgivers (Moses). Vishnu, the Preserver.","How does the issue of control or regulation impact this situation?,What would a compassionate but strict father do?,What needs more control?",,
cards,The Hierophant,5,Major Arcana,Trump,m05.jpg,"It is advisable to follow social structures which are established and have their own tradition, Expect to be caught in a misdeed and punished accordingly, Pray for forgiveness and confess wrongdoings, A more experienced man, spiritual leader, or father figure will come into your life","Guidance, Knowledge, Revelation, Belief, Tradition, Social Groups, Conventionality, Conformity, Education, Avoiding Taboo, Spiritual love, Safe, Success in career","Rebellion, Unconventionality, Non- conformity, New methods, Ignorance, Stale relationships, Misaligned values, Breaking taboo, Bureaucracy, Confined, Peer Pressure, Taking risks with finances","Teaching or guiding others, Searching for the truth, Asking for guidance from a higher power, Acknowledging the wisdom and experience of others, Taking vows, Engaging in heartfelt rituals, Volunteering","Using experience as a means of manipulating or misguiding others, Being dogmatic, Favoring tradition over what is expedient or necessary, Going through the motions of empty rituals, Concealing wisdom, Restricting access to spiritual truths or the gods",The Guardian/The Church/Faith,Vau/Nail or Spike/6,"5 (instability, resistance, confrontation, evolution)",Taurus / Earth / Venus,"The Christ, the Apostle Peter, Buddha, Mohammed. Popes, priests, and intercessors of every faith and tradition","What role might tradition or religion play in this situation?,Who authored the rules? Who enforces them? Why?,How might an experienced guide impact this situation?",,
cards,The Lovers,6,Major Arcana,Trump,m06.jpg,"A new personal or professional relationship blossoms, Sexual opportunities abound, Unexpectedly, a friend becomes a lover, Confidence and strength empowers eachother","Love, Passion, Unity, Choice, Romance, Balance, Supportive relationships, Mutual understanding","Disharmony, Imbalance, Conflict, Detatchment, Bad choices, Indecision, Cold & Detatched, Too many suitors, Imbalance, Conflict, Trouble, Implusive, Not responsible","Being in love, Showing your love to others, Expressing passion or romantic feelings, Aligning yourself with groups or like-minded others, Bringing people together, Making well-informed decisions","Debilitating passion, Allowing an unhealthy desire for love to motivate destructive behavior, Disrupting unity, Working against the best interests of those who care about you, Ill-informed decisions",The Lover/Sexual Awakening,Zain/Sword/7,"6 (cooperation, collaboration, interaction)",Gemini / Air / Mercury,"Obviously, Adam and Eve, who are depicted in RWS-influenced decks. Also Venus and Cupid, Aphrodite and Eros.","What guides my choices?,What is my heart leading me to do?,How might this decision transform me as a person?",,
cards,The Chariot,7,Major Arcana,Trump,m07.jpg,"Pursue a plan with a structures approach, Victory is a certainty, Move ahead with all plans, Beware the jealousy of others","Advancement, Victory, Triumph, Success, Ambition, Determination, Willpower, Control, Self-discipline, Focus, Taking action in love life, ","Forceful, No direction, No control, Powerless, Aggression, Obstacles, Obession, Lack of Ambition, Too aggressive in career, Rushing, Hesistant","Breaking through barriers, Moving forward with confidence and authority, Reaching the pinnacle of success, Basking in the glory of achievement, Guiding an effort to total victory, Establishing yourself as a worthy leader","Resting on laurels, Riding roughshod over the feelings or expectations of others, Focusing more on past successes than future opportunities, Failing to rein in impulsive behavior",The Victorious Hero,Cheth/Fence/8,"7 (imagination, inner work, psychology)","Cancer / Water / Moon, Saturn, Jupiter",Odysseus. Jason. The search for the Holy Grail. Christ's triumphal entry into Jerusalem.,"To what extent have I arrived? What will my next challenge be?,How can I use past achievements to their best advantage?,What would the criteria for real and meaningful success be?",,
cards,Strength,8,Major Arcana,Trump,m08.jpg,"Your resilience will aid you , Speak your mind, Your self-control will be tested, A woman will seek to change her partner or lover, You are a strong, capable person","Discipline, Boldness, Self-discipline, Power, Vitality, Courage, Bravery, Confidence, Inner power, Compassion, Self Mastery, Big Steps, Controlled but large spending","Self doubt, Wekaness, Low confidence, Inadequacy, Cowardice, Forcefullness, Deprssiom, Fear, Lack of motivation, Complusive spending, Hesistant spending , Insecurity, Imposter syndrome, ","Imposing restrictions on yourself for your own benefit, Bringing your passions under the control of reason, Resisting impulses that work against your best interests, Taking bold action","Indulging weakness, even when you know it will damage your health and happiness, Languishing in addiction, Allowing your instincts to tame and conquer you, Failing to take a stand when necessary",The Law,Lamed/Outstretched Arms/30 or Theth/Snake/9,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",Libra or Leo / Fire,Themis or Justitia. Ma'at. Solomon dividing a baby. The Sword of Damocles. The giving of the Ten Commandments.,"To what extent is your life (or work) balanced?,How can you achieve greater objectivity?,What course of action would be fair to everyone concerned?",,
cards,The Hermit,9,Major Arcana,Trump,m09.jpg,"Your destination is yourself, A period of loneliness begins, One partner in a relationship departs, A search for love or money proves fruitless","Solitude, Experience, Stillness, Withdrawal, Inner guidance, Self -Introspection, Contemplation, Search for Self, Search for purpose & truth, Less focus on material hings","Lonliness, Isolation, Recluse, Being Antisocial, rejection, Returning to soceity, Feeling distant from a partner, Realigning to career goals, Working alone, Lost your way","Becoming or seeking out a guru, Going on a retreat, Recharging spiritual or creative batteries, Lighting the way for those with less experience, Stepping back to gain perspective","Being a lonerFearing contact with others, Becoming a know-it-all, Inflating claims of expertise, Hiding your skills and talents out of fear of unworthiness",The Holy Man,Yod/Hand/10,"9 (fullness, readiness, ripeness)",Virgo / Earth / Mercury,"The Christ, while fasting 40 days in the wilderness. Chronos, the god of time. Father Time. Hermes.","What would happen if I simply withdrew and took no action?,How can I get some perspective on the situation?,Who has walked this path before me?, How can I enlist his or her help?",,
